id,type,lat,lon,name,city,text_description,tags
617015815,node,55.788628,49.1346261,Библиотека КГМА,Казань,Библиотека КГМА. Тип: library,"{'amenity': 'library', 'name': 'Библиотека КГМА', 'name:en': 'Library of the Kazan State Medical Academy'}"
639038291,node,55.786572,49.1222719,Татарстан,Казань,Татарстан. Туризм: hotel. Часы работы: 24/7. Описание: ***,"{'addr:housenumber': '4', 'addr:street': 'улица Пушкина', 'check_date': '2025-03-03', 'description': '***', 'name': 'Татарстан', 'name:en': 'Tatarstan', 'name:ru': 'Татарстан', 'opening_hours': '24/7', 'operator': 'АО гостиничный комплекс Татарстан', 'tourism': 'hotel'}"
695065756,node,55.7941784,49.1301644,Татарский государственный театр драмы и комедии имени Карима Тинчурина,Казань,"Татарский государственный театр драмы и комедии имени Карима Тинчурина. Тип: theatre. theatre in Kazan, Tatarstan, Russia","{'amenity': 'theatre', 'contact:email': 'karimkonkurs@mail.ru', 'contact:phone': '+7 843 2643517', 'contact:website': 'https://tinchurinteatr.ru/', 'name': 'Татарский государственный театр драмы и комедии имени Карима Тинчурина', 'name:en': 'Karim Tinchurin Tatar State Drama and Comedy Theater', 'name:ru': 'Татарский государственный театр драмы и комедии имени Карима Тинчурина', 'name:tt': 'Кәрим Тинчурин исемендәге Татар дәүләт драма һәм комедия театры', 'operator': 'ГБУ «Татарский государственный театр драмы и комедии им. К. Тинчурина»', 'ref:mkrf_theaters': '12239', 'wikidata': 'Q13207313'}"
698271115,node,55.791764,49.1123762,КРЦ Родина,Казань,КРЦ Родина. Тип: cinema,"{'amenity': 'cinema', 'name': 'КРЦ Родина', 'name:en': 'Cinema ""Rodina'}"
702352431,node,55.7875854,49.1179144,Hotel Art,Казань,Hotel Art. Туризм: hotel. Часы работы: 24/7. Телефон: +7 843 5673003. Вебсайт: hotelart-kazan.ru,"{'check_date': '2025-04-23', 'name': 'Hotel Art', 'opening_hours': '24/7', 'operator': 'ООО ""Отель арт""', 'phone': '+7 843 5673003', 'stars': '4', 'tourism': 'hotel', 'website': 'hotelart-kazan.ru', 'wheelchair': 'no'}"
702352432,node,55.787819,49.1195861,Шаляпин Палас Отель,Казань,Шаляпин Палас Отель. Туризм: hotel. Часы работы: 24/7. Телефон: +7 843 2311000. Вебсайт: http://www.shalyapin-hotel.ru/,"{'addr:city': 'Казань', 'addr:housenumber': '7', 'addr:postcode': '420111', 'addr:street': 'Университетская улица', 'check_date': '2024-09-25', 'contact:phone': '+7 800 1000780;+7 843 2311056', 'email': 'reservation@shalyapin-hotel.ru', 'name': 'Шаляпин Палас Отель', 'name:en': 'Shalyapin Palace Hotel', 'opening_hours': '24/7', 'operator': 'ООО ""Казань отель групп""', 'phone': '+7 843 2311000', 'stars': '4', 'tourism': 'hotel', 'website': 'http://www.shalyapin-hotel.ru/'}"
702352433,node,55.7937598,49.1031421,Мираж,Казань,Мираж. Туризм: hotel. Часы работы: 24/7,"{'check_date': '2022-05-31', 'contact:email': 'reservation@mirage-hotel.ru', 'contact:phone': '+7 843 2780505;+7 987 2170505', 'contact:website': 'https://mirage-hotel.ru/restaurants/', 'name': 'Мираж', 'name:en': 'Mirage', 'name:ru': 'Мираж', 'opening_hours': '24/7', 'operator': 'ООО ""Мираж""', 'tourism': 'hotel'}"
702352436,node,55.7893807,49.1130341,Казанский государственный театр юного зрителя,Казань,Казанский государственный театр юного зрителя. Тип: theatre. Телефон: +7 843 2921875. Вебсайт: http://www.kazan-tuz.ru/affiche,"{'amenity': 'theatre', 'check_date': '2023-02-28', 'name': 'Казанский государственный театр юного зрителя', 'name:ru': 'Казанский государственный театр юного зрителя', 'name:tt': 'Казан дәүләт яшь тамашачы театры', 'operator': 'ГБУК «Казанский государственный театр юного зрителя»', 'phone': '+7 843 2921875', 'ref:mkrf_theaters': '12227', 'website': 'http://www.kazan-tuz.ru/affiche', 'wikidata': 'Q4207789'}"
702352946,node,55.7938389,49.1495475,Корстон,Казань,Корстон. Туризм: hotel. гостиница и развлекательный центр в Казани,"{'contact:website': 'http://kzn.korston.ru/', 'name': 'Корстон', 'name:en': 'Kortson', 'name:ru': 'Корстон', 'stars': '5', 'tourism': 'hotel', 'wikidata': 'Q4234327'}"
702354243,node,55.7790116,49.1294599,Алмаз синема гранд,Казань,"Алмаз синема гранд. Тип: cinema. Часы работы: Mo-Su 00:00-01:00,10:00-24:00","{'amenity': 'cinema', 'capacity': '867', 'contact:phone': '+7 843 2071336', 'contact:website': 'https://almazcinema.ru/kzn/cinema/45/', 'name': 'Алмаз синема гранд', 'opening_hours': 'Mo-Su 00:00-01:00,10:00-24:00', 'screen': '5'}"
703562623,node,55.7937699,49.1500874,Корстон,Казань,Корстон. Тип: cinema,"{'amenity': 'cinema', 'name': 'Корстон', 'name:en': 'Korston'}"
703562624,node,55.8250751,49.1532912,Алмаз синема XL,Казань,Алмаз синема XL. Тип: cinema,"{'addr:floor': '4', 'amenity': 'cinema', 'check_date': '2023-05-12', 'level': '3', 'name': 'Алмаз синема XL'}"
704753807,node,55.7931643,49.1104649,Алмаз,Казань,Алмаз. Туризм: hotel. Телефон: +7 843 2922041,"{'check_date': '2022-05-22', 'name': 'Алмаз', 'operator': 'ИП Козлов Михаил Александрович', 'phone': '+7 843 2922041', 'tourism': 'hotel', 'wheelchair': 'no'}"
